,asin,title,description,category,topic_name,topic_rank,bubble_color,bubble_size,clean_link
105,6025002584,"Apontus Dog / Cat Exercise Softcrate Playpen, 45"" (Misc)","If dog containment products are what you are looking for, then <br> you have come to the right place. Per...",rabbits and rodents,rabbits and rodents_6,1,0.7935111111111111,9.0,56
106,6022600081,"32""x30""x61"" Large Parrot Bird Cages House Open Playtop Dome Top White Vein",nan,bird,bird_2,22,0.59045,2.0,74
107,6025002568,33&quot; 2-Door Soft Pet Playpen Dog Guinea Pig Puppy Exercise Crate Pen Kennel Blue,"What can you do for your lovely pet?
Provide your pet with a <br> playpen to satisfy your pet's need for ...",rabbits and rodents,rabbits and rodents_6,6,0.6482,3.0,84
113,6041026840,Training Blue Color Coded Front and Back Ring Non Pull Waterproof Padded Adjustable Small Vest Dog ...,"Dexil Ltd/FriendlyDogCollars have created color coded dog <br> collars, leashes, harnesses &amp; coats to...",dog,dog_5,78,0.6213666666666667,3.0,204
132,7556012646,Serta Large Cuddler Pet Bed with Cool Twist Gel Memory Foam,About this item Your beloved furry family member can rest in <br> comfort. Gel-infused memory foam reduce...,other,other_2,39,0.74395,2.0,59
135,8496965791,Miniland Gaito Kamishibaiya Story Cards,Parents and teachers will love these beautiful Kamishibai <br> storytelling cards from Miniland. Gaito Ka...,dog,dog_0,1,0.5080366197183097,71.0,39
137,8963293548,"1/4"" ID 10Ft 3 Meter PVC Clear Vinyl Tubing Flexible Air Vacuum Aquarium Hose",nan,other,other_5,5,0.253075,4.0,77
140,9573095874,MINI Temperature Controller Thermostat 25W Heater Heating Aquarium Submersible for 5~20L,This mini Temperature Controller is an excellent and convenient <br> multifunction device for measuring a...,rabbits and rodents,rabbits and rodents_2,2,0.5473285714285714,7.0,88
143,9789812167,Dragonwood Floor T-Stand 25.5 x 19.5,"These dragonwood play gyms, made in the USA and 100% pesticide <br> free and bird safe, have been owned b...",bird,bird_4,71,-0.2045,2.0,36
144,9789883633,HQ Scroll Top 22x17 Bird Cage and Rolling Stand w Shelf Platinum White,Includes openable scroll top&#44; bottom storage bin&#44; front <br> door with steel locking latch&#44; 3...,bird,bird_3,62,0.4922,3.0,70
145,9789883080,HQ 22x17 Dome Top Bird Cage and Rolling Stand w Shelf Black,Removable tray Removable grate 3 Stainless Steel Cups Access <br> feeders from outside the cage 1 Wood Pe...,bird,bird_3,13,0.8881,2.0,59
146,9789892063,Bird Cage Perches - Manzanita Sandblasted,Our Manzanita is harvested in the mountains of Southern <br> California and hand-crafted. Its hardness an...,bird,bird_3,2,0.8404666666666668,6.0,41
154,9822497466,Bella BirdCo Kito Toy - 10 Strand Bird Toy,With more than 80 colored wooden blocks this toy is sure to <br> outlast other wood toys of similar price...,bird,bird_1,18,0.4844449999999999,20.0,42
160,9820304628,"Dragonwood Bird Training T-stand (Color: Natural, Size: Small)",nan,bird,bird_4,7,0.8138,2.0,62
161,9828377357,Birds LOVE Go-Round Bird Toy,Graham's Parrot Toy Creations Go-Round Bird Toy measures <br> approximately 12.5 inches long by 3 inches ...,bird,bird_4,33,0.4872440000000001,25.0,28
162,9822497482,Birds LOVE Medium Buzzsaw Bird Toy,Graham's Parrot Toy Creations Medium Buzzsaw bird toy is made up <br> of 1 inch thick wooden trapeze and ...,bird,bird_6,17,0.6397428571428572,7.0,34
163,9822497490,Birds LOVE George Large Bird Toy,Graham's Parrot Toy Creation George Large Bird Toy measures <br> approximately 23.5 inches long by 6 inch...,bird,bird_1,52,0.4155041666666666,24.0,32
165,9828377306,Birds LOVE Totem Pole Bird Toy,Graham's Parrot Toy Creations totel pole measures approximately <br> 16 inches long by 9 inches wide. Thi...,bird,bird_6,34,0.5922321428571429,28.0,30
166,9822497938,Birds LOVE Bottlebrush Wood Bird Cage Perch,"Medium bolt-on bottlebrush cage perch for medium parrots. Made <br> in America from Bottlebrush, a native...",bird,bird_6,41,0.5835844036697249,109.0,43
167,9828397587,Bella BirdCo Multi Block Drop Bird Toy,? Certified hemp oil is known to support: ??BENEFITS OF PREMIUM <br> HEMP OIL-RELIEVES PAIN: helps with i...,bird,bird_3,19,0.4271,6.0,38
169,9828397498,Bella BirdCo Super Stepper,nan,bird,bird_3,14,0.74855,2.0,26
170,9828377403,Birds LOVE Fiesta Bird Toy,A simple but fun wooden and cardboard toy with no extra bells or <br> whistles. Parrots are naturally dri...,bird,bird_3,73,0.4609033333333334,60.0,26
175,9980453400,FS9108: Economy Sand Dollars,These sand dollars (Encope Californicus) from Mexico (larger <br> ones) or Morocco (smaller ones) are of ...,other,other_2,44,0.6353,2.0,28
186,B0000223WG,Baldor WWL3606 3 Horsepower 1 Phase 3450 RPM Replacement Motor (For Delta Right Tilt Unisaws),"When you count on your equipment, you can count on Baldor <br> motors. Even better? These totally enclose...",rabbits and rodents,rabbits and rodents_4,7,0.78908,5.0,93
187,B0000223X4,Gore CleanStream 09056 Fully Washable Wet/Dry Vac Filter (For Shop-Vac Vacuums),The Shop-Vac 10-Gallon 1.7 Hp Wet/Dry Vacuum With Internal Float <br> Shut-Off Picks Up Non-Combustible M...,rabbits and rodents,rabbits and rodents_5,1,0.2307,4.0,79
190,B00002N7PJ,Diamond 14D 14-Inch Hoof Nipper with Plastic Grips,"Forged from high-quality steel with heat-treated jaws and <br> handles. Sharp cutting edges are hardened,...",farm animals,farm animals_5,7,0.4541929411764705,85.0,50
194,B00004S1D4,Thermos 18-Ounce Stainless-Steel Insulated Sports Bottle,The Thermos Nissan 26-oz. sports bottle has superior vacuum that <br> creates greater capacity than other...,rabbits and rodents,rabbits and rodents_3,5,0.6281399999999999,5.0,56
197,B00004TS5R,Highland HL1610 Overhead Projector,"Hl1610 Highland Overhead Projector,Technological developments <br> are making great inroads in areas not ...",other,other_6,14,0.7782749999999999,4.0,34
198,B00004TVUM,Beltronics 890 Radar Detector,"Featuring a safety warning system and digital voice messages, <br> Beltronic's 890 Radar Detector will sa...",rabbits and rodents,rabbits and rodents_1,19,0.5445463636363636,110.0,29
200,B00004WA84,"Oneida Stainless Steel Demitasse Spoons, Set of 8","When aromatic espresso or foamy cappuccino is served, stirring <br> in sugar requires tiny spoons like th...",other,other_4,7,0.630075,4.0,49
201,B00004WG0E,"3M 133 Marine Duct Tape, 60 yds Length x 2"" Width","3M, Scotch A/C &amp; Ventilating, 2"" X 60 YDS Cloth Duct Tape, <br> Super Strong Yet Easy To Tear, Seals ...",other,other_3,6,0.3257,4.0,49
205,B00004YYEL,"Diamond Farrier FT15 15"" Farrier Tong",FT15 Features: -Manufactured from special low carbon steel for <br> lasting strength. -Will not become br...,rabbits and rodents,rabbits and rodents_1,17,0.5486529411764706,17.0,37
211,B00005366Y,Beauty without Cruelty Aromatherapy Hand and Body Lotion - 16 Fluid Ounces,Blended with Pure Essential Oils . A Perfect All-Over Body <br> Treatment ...,other,other_4,38,0.4371,2.0,74
212,B000059YQJ,"Powermatic 1660805K Model 66 10-Inch Left Tilt 5 Horsepower Table Saw with 50-Inch Accu-Fence, ...",Arbor Diameter (in.) 5/8 Blade Diameter (in.) 10 Brand <br> Powermatic Distance Between Sliding Table and...,rabbits and rodents,rabbits and rodents_3,3,0.6574714285714286,7.0,176
213,B00005B6Z7,Santa Fe OG5TBR Tex Mex Reversible Oven Grill,"This versatile countertop appliance cooks everything from <br> burgers to brownies, including omelets, fa...",other,other_6,52,0.97995,2.0,45
215,B00005KIA3,"KitchenAid Heavy Duty Balloon Whisk, Yellow","Balloons Party Pack Helium 12 Inches Rainbow Set, Assorted <br> Colored Balloons Made With Strong Latex F...",other,other_1,47,0.3454,2.0,43
222,B00005OMWL,ARK NATURALS Omerga Mender.,Ark Naturals Omega Mender! Itch Ender! is not a one ingredient <br> product. A healthy pet diet contains ...,cat,cat_6,41,0.1077142857142856,7.0,27
230,B00005OMWZ,"Castor &amp; Pollux Curious Cat Organic Catnip, 1 Ounce","""We make stuff we like"" ""I don't know about you, but I always <br> demand the ...",cat,cat_5,13,0.6191666666666666,3.0,55
232,B00005OMXH,Happy Dog Toys Kitten Mitten,"Slip on a Kitten Mitten and drive your kitty crazy. This glove <br> has plastic-reinforced, 9.5"" fing...",cat,cat_6,56,0.3860428571428572,7.0,28
241,B00005S8I1,Fat Cat Kitty Hoots Boogie Mat for de Cat Birds,"These bee-you-tee-ful mats, with original dee-signer fabric by <br> Fat Cat, Inc. will become a major cen...",cat,cat_5,47,0.5979181818181818,11.0,47
248,B0000647GN,Spectra Precision LG2 AccuSquare PRO,FEATURES: General contractor's tool that generates two visible <br> lines at 90 degreesSPECIFICATIONS: Ac...,rabbits and rodents,rabbits and rodents_4,14,0.8028333333333334,3.0,36
265,B00006FDON,Bosch 1012VSR 6.5 Amp 3/8-Inch Drill,"""BOSCH 3/8 HIGH TORQUE DRILL6.5 Amp all ball bearing motor <br> 0-1100 RPM. One handed keyless chuck. Var...",rabbits and rodents,rabbits and rodents_3,4,0.9110666666666668,6.0,36
279,B00006IUWK,"Presto 07035 Cool Touch Electric Griddle, White","Cool-touch on three sides. Heavy cast aluminum resists warping, <br> dissributes heat evenly. Jumbo size ...",rabbits and rodents,rabbits and rodents_5,10,0.6409635126377201,1543.0,47
304,B00007HHC7,"Hold DM Dextromethorphan Cough Suppressant, Cherry, 10-Count Lozenges (Pack of 6)","Forget messy cough syrups. HOLD DM cough lozenges contain <br> dextromethorphan, the same effective ingre...",cat,cat_0,70,-0.05147,10.0,81
314,B00008432E,Carefresh Complete Supreme Gerri Premium Gerbil Food,Gerri Gerbil is a complete and balanced food formulated for the <br> special nutritional needs of gerbils...,rabbits and rodents,rabbits and rodents_4,52,0.6435591836734694,49.0,52
319,B00008434E,"Au Jus&trade; Canned Chicken Diet Wet Dog / Cat Food Quantity: 5.5-oz, case of 24","WDMCC6 Quantity: 5.5-oz, case of 24 Features: -Canned chicken <br> diet dog / cat food. -Contains no grai...",cat,cat_6,7,0.07905,2.0,81
325,B000084E78,"CELL SORB Plus Bedding, 28-Quart",Cell Sorb Plus Ferret Litter Cell Sorb Plus Bedding will cut <br> down on how often you need to clean you...,amphibians and reptiles,amphibians and reptiles_3,4,0.39125,10.0,32
330,B000084E6Y,Cats Claws I.C.A.T.S. Attachment Cat Toy,"The original ""Feline Flyer"". Tease your cat with bird-like <br> movements and fluttering sounds. Non-toxi...",cat,cat_3,29,0.6553666666666668,3.0,40
334,B000084E5W,Petmate Litter Pan Assorted Large,"With Microban antimicrobial. Durable construction. Attractive <br> colors. Easy to clean. Large.,,",cat,cat_4,40,0.6527250000000001,4.0,33
337,B000084EAD,"Beefeaters Piggy Porkhide Bone, 8 To 9-Inch","Piggy Porkhide Bones have a chewy texture that dogs enjoy. As it <br> satisfies the dog's need to chew, i...",farm animals,farm animals_5,3,0.8602,2.0,43
340,B000084E4J,"Cream Original Snuggle Ball - 32""",nan,dog,dog_3,34,0.75832,5.0,33
344,B000084EBO,Precise Cat Foundation 6Lb,"Once your kitten is about a year old, you should begin to shift <br> over to Precise Feline Foundation Fo...",cat,cat_1,61,0.2525857142857143,7.0,26
371,B000084EG3,Crystal Clear Litter Pearls Cat Litter,nan,cat,cat_3,28,0.7866,3.0,38
372,B000084EAE,Nutro Max Adult Wet Canned Cat Food Duck,",NUTRO MAX CAT With Savory Duck Chunks in Sauce Canned Cat Food <br> is made with select ingredients and ...",cat,cat_3,80,0.4947144554455443,505.0,40
375,B000084EJO,Purina Friskies Wet Cat Food Variety Pack (Pack May Vary),"Keep your pantry filled with this Purina Friskies Classic Pate <br> wet cat food variety pack, and let yo...",cat,cat_4,52,0.4354032549728756,1106.0,57
383,B000084EGQ,"Lafeber Company Original Avi-Cakes for Macaws and Cockatoos, 16-Ounce","It's Love At First Bite Original, Nutritional, Flavorful. This <br> is the recipe birds have grown to lov...",bird,bird_4,18,0.515625,16.0,69
384,B000084EQM,"Healthy Pet Foods, Inc. Clumping Cat Litter, 10-Pounds",Save On Here's The Scoop 1X 10Lb Clumping Cat Litter Doesn'T <br> Contain Chemicals Or Sodium Bentonite.:...,cat,cat_5,9,0.82825,4.0,54
397,B000084EK9,Friskies Sea Captain's Choice for Cats (24/5.5-oz cans),Friskies Classic Pate Sea Captains Choice Canned Cat Food - what <br> your cat is hungry for today and ev...,cat,cat_5,25,0.2976,2.0,55
400,B000084EKY,Fancy Feast Sliced Variety Pack Canned Cat Food,"Fancy Feast Sliced Variety Pack Canned Cat Food provides your <br> cat with a complete and balanced meal,...",cat,cat_2,20,0.37865,4.0,47
403,B000084ETX,Felidae Cat and Kitten Formula (20-lb bag),nan,cat,cat_1,3,0.75625,6.0,42
406,B000084EF6,Totally Ferret Active Show and Pet Diet,?Why do you need anti-bark collar StopWoofer?  There is a number <br> of dog behavior related ...,rabbits and rodents,rabbits and rodents_4,26,0.3048,2.0,39
418,B000084ENJ,HIKARI Staple Pellets Pond Fish Food,"Hikari Staple is an economical, daily diet for koi as well as <br> other pond fishes. It contains all the...",fish,fish_6,37,0.5657599999999997,75.0,36
441,B000084F39,"Van Ness Small Litter Pan, Assorted Colors",Pureness medium cat litter pan. Size 16-inch by 12-inch by <br> 4-inch. Comes in assorted colors. High po...,cat,cat_3,67,0.5282367003367001,297.0,42
442,B000084F68,Wells Pro Pac Cat Adult Formula - 19.8 Lb. Bag,PRO PAC Adult Cat Food is a superpremium food for adult cats.,cat,cat_2,36,0.6443333333333333,3.0,46
444,B000084EMZ,"TetraPond Pond Sticks, Healthy Nutrition for Goldfish and Koi","For 50 years, fishkeeping enthusiasts have looked to the Tetra <br> name for products and solutions that ...",fish,fish_6,17,0.5929096858638737,382.0,61
472,B000084EWW,Pet Guard Food For Dogs,"Pet guard Dog Adult chicken Rice Herb. No Artificial Flavors, <br> Preservatives. The product temperature...",farm animals,farm animals_5,6,0.78335,2.0,23
473,B000084F1L,"Wellness Complete Salmon, Salmon Meal &amp; Deboned Turkey Dry Cat Food - 5 lbs 14 oz (2.7 Kg)","Complete Health  Salmon, Salmon Meal &amp; Deboned Turkey Recipe <br> is a well-rounded, everyday diet of...",cat,cat_4,67,0.4859166666666666,6.0,94
482,B000084EN5,TetraPond Floating Koi Sticks,TetraPond Koi Vibrance pond fish food is a highly nutritional <br> diet for all sizes of koi and ornament...,fish,fish_6,20,0.6011259923175427,781.0,29
490,B000084F3T,"Pureness Giant Cat Litter Pan, Assorted Colors",Pureness giant cat litter pan. Size 21-7/8-inch by 16-3/4-inch <br> by 6-1/2-inch. Comes in assorted colo...,cat,cat_4,33,0.508385571142285,499.0,46
491,B000084F3I,Natural Balance Turkey and Giblet Ultra Premium Canned Cat Food (24/6-oz cans),Natural Balance Canned Cat Food is a complete and balanced <br> premium cat food. Contains cranberry powd...,cat,cat_6,79,0.5814750000000001,4.0,78
492,B000084EVG,PetGuard Premium Dry Cat &amp; Kitten - Fresh Chicken - 8lb,",PetGuard Premium Cat & Kitten Dry Food - Fresh Chicken,PetGuard <br> Premium Cat & Kitten Dry Foo...",cat,cat_3,24,0.6178999999999999,7.0,59
496,B00008AJHV,"Cat Tails Unscented Cat Litter, 10 Pound Bag",Cat Tails Premium Cat Box Litter contains natural ground clay <br> and odor eliminating fragrance crystal...,rabbits and rodents,rabbits and rodents_5,74,-0.0822,2.0,44
497,B00008BQZD,Dualit Combi 2+1 Toaster in Silver (2 Toast/1 Sandwitch),Adjustable The collar for flea and tick prevention for cat will <br> be ideal for both tiny and big cats ...,rabbits and rodents,rabbits and rodents_4,47,0.7223499999999999,8.0,56
530,B00008DFPF,Oxbow Western Timothy Hay,Western Timothy is the most widely recommended grass hay. It <br> provides a long-strand fiber source tha...,rabbits and rodents,rabbits and rodents_1,26,0.504725,4.0,25
540,B00008DFPL,Oxbow Orchard Grass 9 lb.,"Animals love the sweet smell and taste of leafy Oxbow Orchard <br> Grass Hay, and that makes it a g...",rabbits and rodents,rabbits and rodents_4,11,0.712975,4.0,25
578,B00008Q37R,C.E.T. Oral Hygiene Chews (petite - 30-ct box),C.E.T. Oral Hygiene Chews for dogs are made from select beef <br> hide and are coated with the C.E.T. Dua...,other,other_3,28,0.8523000000000001,2.0,46
592,B000093HIR,"ARC Laboratories Kwik-Stop Styptic Powder for Dogs, Cats and Birds (42-gm container) by Arc ...",Kwik-Stop Styptic Powder With Benzocaine is applied topically as <br> aid to stop bleeding caused by clip...,bird,bird_2,2,0.4960800000000001,5.0,105
596,B000093HMI,Supreme Gerty Premium Guinea Pig Food,"Gerty Guinea Pig is a colorful, complete and balanced food <br> enriched with vitamin C cavies. Like huma...",rabbits and rodents,rabbits and rodents_4,9,0.34265,4.0,37
611,B00009K77E,Jasper 500J Model 500 Router Circle Cutting Jig Base Plate Adaptor,Jasper base plate adapter converts your router base to use <br> porter cable style guide bushings.,other,other_5,36,0.637,2.0,66
614,B00009LHMR,Kaylor-made Sweet Harvest Parrot Food Without Sunflower,"MADE TO ORDER -- all products freshly made to order and are NOT <br> pre-packaged!!,,",bird,bird_3,8,0.8870333333333335,3.0,55
617,B00009LIDG,Kaylor-made Sweet Harvest Vitamin Enriched Parrot No Sunflower Seeds 3 Lb,MADE TO ORDER -- all products freshly made to order and are NOT <br> pre-packaged!!,bird,bird_3,61,0.8859333333333334,3.0,73
623,B00009ND7R,Wysong Vitality Can Cat Food 24 Pack,Wysong Feline Vitality yields an excellent spectrum of amino <br> acids and micronutrients essential to n...,cat,cat_3,46,0.7244,2.0,36
627,B00009OLFA,"Feline Holistic Chicken and Tuna Recipe Cat Food (5.5-oz, case of 24)",72100125 Features: -Cat food.-Chicken and tuna protein.-Low <br> magnesium.-Omega fatty acids for a healt...,cat,cat_1,40,0.8089,2.0,69
628,B00009OLHB,Sweet Harvest Cockatiel Bird Food (With Sunflower Seeds),Kaylor-made Sweet Harvest Cockatiel Food with Sunflower,bird,bird_1,24,0.5149352941176472,17.0,56
630,B00009OLH0,Kaylor-Made Sweet Harvest - Rabbit &amp; More 6-Lb Bag,"The first rabbit food ever to include ingredients other than <br> pellets! Contains Suncured Alfalfa Hay,...",rabbits and rodents,rabbits and rodents_6,39,0.5538666666666666,3.0,54
635,B00009ZJ48,Whiskas Temptations Seafood Medley Flavor Treats (3-oz pouch),"Whiskas Temptations treats have a tasty, crunchy outside and an <br> irresistible soft center your cat wi...",cat,cat_1,62,0.2983571428571428,7.0,61
640,B00009ZJ5E,Pretty Bird Eclectus Special for Birds 8lb,&lt;p&gt;Manufactured with fructose with is a naturally <br> occurring ingredient in fruit in a fruit in ...,bird,bird_1,63,0.752125,4.0,42
645,B00009ZJ23,"Pretty Bird International Bpb79117 20-Pound Daily Select Premium Bird Food, Medium","Pretty Bird daily select premium bird food is original <br> multicolored, multi-shaped, extruded bird foo...",bird,bird_1,12,0.5532644444444446,45.0,82
655,B0000AH3OC,Hemp Oil for Dogs &amp; Cats (500mg) - Organic Full Spectrum Hemp ExtractNatural Pain Relief for ...,Does your pet get enough Omega 3 and Omega 6 in their diet? Our <br> hemp oil not only contains the full ...,cat,cat_2,35,0.2345333333333333,3.0,208
662,B0000AH9XL,Friskies Special Diet Chicken and Gravy (24/5.5-oz cans),Friskies Special Diet Meaty Bits Chicken Dinner in Gravy Canned <br> Cat Food is specially formulated to ...,cat,cat_5,12,0.1822333333333333,3.0,56
663,B0000AH3RU,Natural Large Bird Food,"Zupreem natural is fresh, wholesome natural bird food made with <br> vegetables and precisely formulated ...",bird,bird_1,14,0.443137037037037,27.0,23
666,B0000AUSD4,Coghlan's Function Whistle,nan,rabbits and rodents,rabbits and rodents_5,33,0.4436249999999998,264.0,26
675,B0000B3ASR,"Fiebing's 100% Pure Neatsfoot Oil - Natural Leather Preserver - For Boots, Baseball Gloves, ...",A 100% natural preservative for leather articles subjected to <br> rugged use and outdoor exposure. Since...,rabbits and rodents,rabbits and rodents_3,24,0.498528148148148,270.0,102
678,B0000B3AS3,Lexol ph Leather Cleaner 1/2 Liter Spray,Lexol pH Leather Cleaner is strong for tough jobs but gentle <br> enough for the finest leather. Safely c...,farm animals,farm animals_5,8,0.499275,4.0,40
679,B0000B3BVA,Vet Wrap Neon Purple,"Vet Wrap Neon Purple,,",bird,bird_2,1,0.7193,5.0,20
680,B0000B3BV2,3M Vet Wrap Hunter Green,"Vet Wrap Green,,",bird,bird_2,64,0.4119,3.0,24
686,B0000BUUT5,Hoof Pick With Brush Assorted Colors,"2 in 1 Plastic hoof pick with brush. Assorted color. Sorry no <br> color choice.,,",farm animals,farm animals_5,2,0.6796333333333333,3.0,36
687,B0000BUV1L,MiracleCorp Products Grooma Equine ManeMaster Combo Comb,"Mane Comb designed to prevent pulling.,,",farm animals,farm animals_5,11,0.0571625,8.0,56
693,B0000BYC0F,PondCare 180B Spring and Autumn Pond Fish Food Premium,"This is a reduced protein, high carbohydrate diet formulated <br> specifically for the cool water seasons...",fish,fish_4,7,0.758025,32.0,54
694,B0000BYC0N,API Pond Salt Pond Water Salt,A lack of electrolytes in pond may cause serious health problems <br> for fish. API POND SALT supplies el...,fish,fish_6,30,0.4250255319148936,94.0,29
695,B0000BYC0H,"Pondcare Summer Staple Koi Fish Food Premium Pellet, 41-Ounce",This product is formulated to meet the nutritional needs of koi <br> and goldfish in the warm water seaso...,fish,fish_4,12,0.5797952380952381,21.0,61
701,B0000BYDP7,C &amp; S Products CS803 Easy Fill Suet Basket,EZ Fill Suet Basket Attracts more birds and gives the wild bird <br> feeding enthusiast peace of mind kno...,bird,bird_6,44,0.4637,2.0,46
703,B0000BYDZD,"8-Ounce Individual Box Oriole Nectar, Orange Flavor",Individual box of orange flavored Oriole nectar.,bird,bird_6,49,0.6495200000000001,5.0,51
715,B0000CET3P,Animalovens Pretzel Sticks Food - Net Wt 3.5 OZ,"Animalovens Pretzel Sticks Food - Net Wt 3.5 OZ,,",rabbits and rodents,rabbits and rodents_4,17,0.4226333333333333,3.0,47
716,B0000CEU4O,"Sun Seed Company Bss40180 Vita Mix Daily Diets For Finch, 25-Pound","Sun Seed Company BSS40180 Vita Mix Daily Diets for Finch, <br> 25-Pound,,",bird,bird_2,11,0.5758,2.0,66
718,B0000CEU3D,Halo Spot's Stew For Cats Wholesome Chicken Recipe Canned Cat Food,"Halo Spot's Stew Wholesome Chicken Recipe Canned Cat Food is an <br> all-natural, healthy, homemade f...",cat,cat_6,58,0.9365,4.0,66
720,B0000DAIP5,"Earth Friendly Products Between Baths Grooming Spray, Peppermint &amp; Tea Tree Pet Formula",Dander Remover &amp; Body Deodorizer  Natural Pet Formula 1...,cat,cat_4,57,0.5317913043478261,23.0,91
730,B0000DI7XC,Ruffin It Tie-Out 15' HD Cable,"Heavy duty 18"" corkscrew tie-out stake, with tempered steel <br> construction that's rust resistant. For ...",other,other_3,58,0.55205,2.0,30
743,B0000TSC9M,Kitty Kaviar Premium Cat Treat (0.5oz canister (12 pack)),Kitty Kaviar is an allnatural fish treat for cats of all ages. <br> It is made from 100 dried Bonito file...,cat,cat_6,2,0.58124,5.0,57
746,B0000TS5IU,Kaylor of Colorado AS-48765-2 4 lb (Pack of 2) Sweet Harvest Rabbit More Pet Food,"Kaylor-Made Sweet Harvest Parakeet Food,,",bird,bird_4,30,0.376,2.0,81
751,B0000TS5CQ,Sweet Harvest Parrot Food Without Sunflower 20lbs,"Kaylor-made Sweet Harvest Parrot Food Without Sunflower,,",bird,bird_3,72,0.0890249999999999,4.0,49
796,B00014FBO0,Ware Manufacturing Kitty CONDO 2 Level,Quality materials and construction. Double hideout with a cozy <br> perch. One of the most popular pieces...,cat,cat_6,16,0.5794199999999999,5.0,38
820,B000198CWI,Jelly Scrubber Grooming Mitt,Still the hottest original jelly scrubber on the market by Tail <br> Tamer. Great jelly feel in assorted ...,farm animals,farm animals_2,1,0.6931499999999999,2.0,28
