,asin,title,description,category,topic_name,bubble_color,bubble_size,clean_link,topic_rank
101,B0006L2PC4,Deodorizing Shampoo - 16 oz. (Nature's Miracle),,other,other_3,0.9505,1,1.0,0
2776,B004OA5ZAM,"Joint MAX Regular Strength for Cats and Dogs - <br>Vitamins, Minerals, Antioxidants - Glucosamine, <br>Chondroitin - Beef Flavor - Maximum Joint Health <br>Supplement - 180 Chewable Tablets","Joint MAX RS helps ease stiffness and promotes <br>healthy cartilage and joints. Glucosamine and <br>Chondroitin work together to promote improved <br>joint health by strengthening your dog's <br>cartilage. It also contains Vitamin C, Zinc and <br>N-Acetyl-Cysteine for added joint healing. <br>Recommended for dogs that ...",dog,dog_0,0.4385714285714285,7,1.0,0
3,B000256ELM,Zoo Med Turtle Dock,Unique floating dock for aquatic turtles to bask <br>on. Self leveling feature automatically adjusts to <br>all water levels. Submerged ramp allows turtles <br>easy access to a dry basking area for maximum <br>exposure to heat and uvb lamps. Available in 3 <br>sizes to easily accommodate any size aquatic <br>Turtle.,amphibians and reptiles,amphibians and reptiles_3,0.3955740648379052,802,,0
13,B0002DH1XO,Floppy Fleece Cow,"Your pet will have hours of fun with these <br>oversized extra fluffy, floppy fleece toys. Choose <br>from a lamb, cow or a dog, each 15"" long.",farm animals,farm animals_4,0.7496,1,,0
10,B00025Z6NY,"Ocean Star International A0108 Betta Pet Food, <br>0.18-Ounce",All hardware included; easy to assemble using only <br>a screw driver; Easy access; Easy to clean; A very <br>quality product from the manufacturer.,other,other_5,0.8807,1,,0
52,B0002RH9KU,"BIRD CAGE 24x16x16 white with seed and water cups, <br>perch and tray","Good size for Finch, Parakeets, love bird, <br>cockatiels,,",bird,bird_4,0.9824,1,,0
223,B0002DGN9W,BOBBING BIRD/PRCH,"Bobbing Bird with Perch,,",bird,bird_5,-0.3291,1,1.0,0
136,B0002DIY1W,Penn Plax Aquarium Tank Stand 29 Gallon,"Penn Plax aquarium tank stand 29 gallon, bottom <br>shelf fits 15/20H gallon tank, sturdy iron <br>construction, rubber feet protect floor, extra <br>shelf for added tank, quick, easy assembly.",fish,fish_1,0.00855,8,,0
483,B0014CZ4DG,"Fancy Feast Gourmet Cat Food Tender Beef &amp; <br>Liver Feast, 3 oz","Fancy Feast Classic Tender Beef & Liver Feast <br>Gourmet Cat Food.100% Complete & Balanced.,Beef <br>Broth, Meat By-Products, Beef, Lifer, Chicken, <br>Artificial And Natural Flavors, Calciumphosphate, <br>Guargum, Potassium Chloride, Salt, Taurine, <br>Magnesium Sulfate, Added Color, Zinc Sulfate, <br>Thiamine ...",cat,cat_2,-0.3182,1,1.0,0
19,B0002AQ1DS,Zilla Fresh Air Metal Screen Cover for Terrariums <br>(12 Inch L x 36 Inch W),"Allows essential air flow in reptile terrariums <br>Durable, escape-proof design Withstands high <br>temperatures from heating devices Provide air flow <br>while maintaining solid security Fresh Air <br>terrarium covers are designed especially for the <br>unique needs of reptile environments. Screening <br>promotes the ...",amphibians and reptiles,amphibians and reptiles_5,0.0,1,1.0,0
2561,B00V75C7JE,HERMIT CRAB HIDEAWAY KIT &quot;Ctg: REPTILE <br>PRODUCTS - REPTILE - HERMIT CRAB: HABITAT&quot;,"HERMIT CRAB HIDEAWAY KIT ""Ctg: REPTILE PRODUCTS - <br>REPTILE - HERMIT CRAB: HABITAT""  HERMIT CRAB <br>HIDEAWAY KIT",amphibians and reptiles,amphibians and reptiles_0,0.7269,1,,0
530,B000DLBCW6,Pounce Moist Cat Treats,"Pounce Moist Caribbean Catch Tuna Flavor Cat <br>Treats are made with real tuna for the taste cats <br>love. Bring out your kittens playful side with <br>tender, seafood-shaped treats bursting with color <br>and flavor.,Pounce is the original cat snack. In <br>fact, Pounce Original was the first cat snack on <br>the ...",cat,cat_6,0.5631051369863012,292,1.0,0
740,B000VDWW0W,Whiskas Temptations Creamy Dairy Cat Treats,"There are plenty of fish in the sea, but none as <br>delicious as These! whiskas temptations mixups <br>surfers' delight cat treats are made with the <br>delicious tastes of Tuna, shrimp, and salmon <br>flavors in every bag! and not only are they <br>scrumptious but they're only two calories each! so <br>bring out the ...",cat,cat_3,0.399355,20,1.0,0
113,B0002AT0GS,8 in 1 Pet Products Cockatiel Ultrablend Moulting <br>Food 7oz,Unique nutritional blend enriched with vitamins <br>and minerals essential for maintaining optimum <br>health during stressful moulting periods. <br>Advanced formula provides essential nutrients <br>during moulting of cockatiels. Add 1/2 to 1tsp to <br>regular diet daily. Keep your bird in top <br>condition until its new ...,bird,bird_1,0.9336,1,,0
142,B0002AQ03O,Therma-Flow PC Plus Aquarium Heater,"Automatic moistureproof aquarium heater for salt <br>&amp; freshwater aquariums.,,",fish,fish_2,0.5504,1,,0
51,B0006JLS2Y,AirMaster 2000 Aquarium Air Pump (Marineland),,other,other_2,0.8,1,,0
13,B0002APZNA,Lee`s Aquarium Kritter Light 7W,Lee`s Aquarium Kritter Light 7W Simply pop out the <br>clear viewer/feeder and replace with Kritter <br>Light.Fits:Lee'sKritter KeepersHerpHavensReptile <br>Ranches Hermit Crab Hideaway 120 volt / 7 watt <br>Lamp CU/L Listed 56in Power Cord,amphibians and reptiles,amphibians and reptiles_1,0.6249,1,,0
12841,B00KC08P78,"Stella &amp; Chewy's Tantalizing Turkey Cat Food <br>(Pack of 2, 12oz bags)",,cat,cat_0,0.4215,1,0.0,0
6,B00025640S,Tetra ReptoMin Floating Food Sticks for Aquatic <br>Turtles/Newts/Frogs,"For 50 years, fishkeeping enthusiasts have looked <br>to the Tetra name for products and solutions that <br>add ease and beauty to their home. Whether you're <br>an experienced hobbyist or just starting out, <br>Tetra has everything you need-from a large variety <br>of quality fish food and innovative equipment to <br>...",amphibians and reptiles,amphibians and reptiles_2,0.5730505376344106,1116,1.0,0
1905,B002GZ68UI,"Carters Snuggle Me Elephant Boa Blanket, Green <br>(Discontinued by Manufacturer)","Your baby will always have a snuggle buddy with <br>this snuggle me elephant boa blanket. Comforting <br>and friendly, this polka dot blanket is baby's <br>first friend featured here in sage and chocolate. <br>Soft and c ounce y to provide your baby with extra <br>comfort.,Your baby will always have a snuggle <br>buddy ...",dog,dog_2,0.6557837837837838,111,0.0,0
18,B0002APJ72,Metal Tank Top Cover With Door - 10 Gallon - Black,Powder coated to inhibit rust. 0.75 x 10.75 x 20.5,amphibians and reptiles,amphibians and reptiles_4,0.9232,1,,0
158,B0002DIFG6,Betta Planter by Marineland,With this planter you can add a betta to your <br>plants to make a beautiful display. Comes with <br>almost everything you need to get started. You <br>just need water and betta.,fish,fish_3,0.1261999999999999,2,,0
39,B0002AS9MY,Interpet Limited Superpet Hay Manger,"Designed to provide your pet with Alfalfa, Timothy <br>Hay or other Fresh Vegetables. Attaches directly <br>inside any wire cage at any level. Eliminates <br>wasted food. Also comes with a built in salt spool <br>hanger so you have a sanitary spot for your <br>critters salt savors.",rabbits and rodents,rabbits and rodents_1,0.3293481012658226,79,,0
11428,B008Z9EIQK,IAMS PROACTIVE HEALTH Adult Chunks With Chicken in <br>Gravy Wet Dog Food 12.3 Ounces,"Give your dog the taste of a home-cooked meal with <br>IAMS PROACTIVE HEALTH Adult Wet Dog Food. Our <br>wholesome dog foods are made with natural <br>ingredients, such as real chicken, and slow-cooked <br>in a savory broth for a taste dogs can't resist. <br>IAMS PROACTIVE HEALTH also is formulated with <br>omega fatty ...",dog,dog_3,0.0,1,1.0,0
1138,B000VH9NPK,"Newman's Own Organic Dog Food, Canned Chicken <br>&amp; Rice, 5.5 oz",Newman's Own Organics newest addition is USDA <br>Organic Chicken or Turkey Grain Free Dinners. 100% <br>complete and balanced nutrition that can be fed as <br>an individual meal or to enhance your dog's dry <br>food diet. These highly palatable dinners are <br>ideal for maintaining a dog's optimal body weight <br>and ...,dog,dog_1,0.7096,1,1.0,0
37,B0002APW24,Pennplax Aquarium Decoration Mirror-Back Double <br>Back Background for 15/29-Gallon Tanks,Pennplax aquarium decoration mirror back double <br>back background 15/29 gallon tanks. You get two <br>backgrounds for the price of one.,rabbits and rodents,rabbits and rodents_4,0.0460999999999999,3,1.0,0
9005,B0076RYT52,Casual Canine Home Wrecker Pet Tee Shirt - Black,"ZM3567 08 17 Size: XX-Small Features: -Dog <br>tees.-Material: 65pct Polyester, 35pct <br>Cotton.-Blame it on the dog with this funny <br>poly/cotton tee.-Screen-printed tee is machine- <br>washable with a high-cut, stay-dry belly.-Machine <br>wash in cold water on gentle cycle, line dry. <br>Options: -Available in several ...",dog,dog_4,0.7875833333333334,6,1.0,0
241,B0009YF4EY,Coralife T5 Replacement Lamp Actinic,Coralife is one of the market's leading <br>manufacturers of premium aquarium products. These <br>T5 fluorescent lamps are energy efficient and <br>provide equal or greater light output when <br>compared to standard T8 aquarium lamps.,rabbits and rodents,rabbits and rodents_2,-0.108545,20,,0
57,B0002DGJCI,Kaytee Exact Organic Premium Daily Nutrition for <br>Parakeets &amp; Cockatiels,The organic methods of growing and processing <br>these ingredients utilize the Earth's natural <br>resources which are free of chemical treatments. <br>The end result is a naturally pure product using <br>Earth-friendly means. Exact Organic provides the <br>same 100% nutrition you have come to know and <br>trust with ...,bird,bird_3,0.6341666666666667,3,1.0,0
0,B00002NB6C,Diamond Farrier NP12 12&quot; Horseshoe Crease <br>Nail Puller,"For removal nails from crease of horseshoes. <br>Precision forged from high-quality tool steel for <br>long life. Button rivet construction with polished <br>head.,Crease nail puller, for removal of nails <br>from the crease of shoes that have been on the <br>horse for some time. This is also an essential <br>tool for the ...",farm animals,farm animals_5,0.3493142857142857,7,1.0,0
4,B0002ARLY6,"Coastal Pet Li`l Pals Iguana Leash / Lead &amp; <br>Harness (Blue, 4 ft.)","Size One size fits most (not for baby or very <br>small lizards)  Features Harness & leash <br>combination (nothing else to buy) Self adjusting <br>to fit any size Iguana (and most larger lizards) <br>Easy Fitting Guaranteed to not slip or bind <br>Description Recommended for lizards 10"" and over. <br>This braided ...",amphibians and reptiles,amphibians and reptiles_6,0.47095,2,1.0,0
116,B0006L2VR8,Interpet Limited Superpet Critter Bath Powder <br>(14oz),Bath powder made from natural mountain pumice. <br>Fine dust grade. Ideal for dwarf hamsters and <br>gerbils who like to take baths. 14oz.,rabbits and rodents,rabbits and rodents_6,0.3568862068965516,58,1.0,0
76,B0002ARY16,Multi Pet Birdy Buddy Large Yellow,,bird,bird_2,-0.08785,2,1.0,0
1,B00005N8PZ,Moo Like a Cow,"Imagine Gold Betta Garden with Flower The Imagine <br>Gold Betta Garden with Flower is perfect for <br>Bettas. Great for the office or your home, this <br>kit aquarium comes with everything you need to set <br>up and decorate your Betta's home. Features: . 3/4 <br>gallon plastic bowl . Fish not included . Includes <br>...",farm animals,farm animals_1,0.7126,1,,0
90,B0009PCOP0,"Fresh Step Odor Shield with Febreze Freshness, <br>Clumping Cat Litter, Scented","Fresh Step Odor Shield with Febreze Freshness <br>Scented Clumping Cat Litter contains carbon to <br>inhibit bacterial odor for up to 10 days and tight <br>clumping clay for easy litter box maintenance. In <br>this scented formula, a paw-activated fragrance is <br>released every time your cat uses the litter box, <br>...",cat,cat_1,0.4413142011834316,169,1.0,0
3573,B007KB5BDS,Brazilian Rosewood Custom Bed,,other,other_0,-0.3538,1,,0
12763,B01DK7BDIM,Transparent Hamster and Gerbil Cage House Nest <br>Castle Play Spaces Rats Habitat(Two-story S),"This Two Story Transparent Cage is Designed For <br>Hamster,Mice,Mouse and other Small Animals Similar <br>to this Size.Its size:13.0(H)*11.8(W)*7.9(D) <br>inch.It's Assembly structure,you shall assembly it <br>yourself.The Whole Set including Following <br>Accessories:1Pcs Transparent Acrylic Cage,1Pcs <br>Wheel,1Pcs ...",rabbits and rodents,rabbits and rodents_0,0.25605,2,,0
1743,B001B13SSS,"Blue Dog Bakery Natural Low Fat Peanut Butter <br>&amp; Molasses Biscuits, 20 oz",Biscuits come in a variety of animal shapes and <br>sizes. They contain highest quality bakery <br>ingredients and include no animal by-products. It <br>is easily digestible and comes in large and small <br>animal shapes. They are perfect for all size dogs <br>with no preservatives or additives. No artificial <br>flavors ...,dog,dog_5,0.3823272727272728,11,1.0,0
1361,B000VB139K,Fresh Step Crystals Premium Clumping Cat Litter <br>Scented - 4 lb,"Fresh Step Crystals Premium Cat Litter locks in <br>odor and absorbs moisture on contact. This long <br>lasting and lightweight cat litter keeps your home <br>smelling fresh with less work and less litter. <br>Compared to other leading clay cat litter, this <br>crystal cat litter locks in odors five times <br>better. ...",cat,cat_4,0.3602,43,1.0,0
659,B000GDXHCO,Meow Town Leopard Print Cat Cave,,dog,dog_6,0.6391,1,1.0,0
4978,B00GS6MJUO,Hartz 81751 30 Oz Gravel'n Grit Pet Bird Digestive <br>Aid,,bird,bird_0,0.47094,5,1.0,0
525,B000F2YVKI,"Dogswell Happy Heart Dog Treats, Beef Liver, <br>6-Ounce Pouches (Pack Of 6)","A healthy heart means a happy dog. Made with all <br>natural beef liver with vitamin E, an antioxidant. <br>Benefits: premium dog treats; rich in protein; <br>digestible; all natural beef liver. True jerky <br>treats with added nutrients: no flour; no wheat; <br>no corn; no soy; no hormones; no antibiotics; no <br>...",dog,dog_1,0.93005,2,1.0,1
56,B0002DJX08,Instant Ocean-Aquarium Systems AIO0040001 4-Pack <br>Suction Cups Maxijets for Aquarium Filter,"Instant ocean suction cups maxijets 4 pack. Made <br>by instant ocean-aquarium systems. Manufactured to <br>the highest quality available.,,",other,other_6,0.0,1,1.0,1
8,B000261PZQ,Japanese Maple Vine - Green,"Instant Ocean FancyPlants JAPANESE <br>MAPLEFancyPlants? are natural-looking aquarium <br>decorations that fish readily swim through for <br>shelter and protection the same way they swim <br>through live plants. They are easily cleaned under <br>running water, and come with multi-position <br>anchoring bases and suction ...",amphibians and reptiles,amphibians and reptiles_2,0.9523,1,,1
160,B000PU1KUY,"Purina O.N.E. Special Formula for Adult Cats, <br>Chicken &amp; Rice , 7 lbs","We use real chicken, brewers rice and other high <br>quality ingredients in Purina O.N.E. Special <br>Formula. Chicken is a high quality source of <br>protein, and grains provide necessary <br>carbohydrates for energy.,Recommended daily <br>feeding amounts for adult cats with normal <br>activity (using standard 8 oz ...",cat,cat_1,0.600225,4,1.0,1
43,B0002AQSL8,"North American Pet BBO22790 Bob Parrot Ladder, <br>8-Inch",Give your parrot a leg up in the bird world with <br>this 24-inch wood parrot ladder.; Help your parrot <br>get an even better bird's-eye view of his world <br>with Bob's Wood Parrot Ladder. Parrots enjoy <br>perching themselves and this ladder is an <br>excellent addition to any cage. Made in USA.,bird,bird_2,0.0,1,,1
11804,B00I0QHFMC,K&amp;h Heated Thermo Kitty Cat Pet Cuddle Cup Bed <br>Mocha 16&quot; Kh3191 for Your Dog and Cat Fast <br>Shipping,"K&H Thermo-Kitty Bed 16""   MOCHA   Wattage: 4 <br>watts  KH3191  Super Soft and Cuddly For Your <br>Kitty!   The K&H Thermo-Kitty Bed has a dual <br>thermostat 4 watt heating unit buried deep within <br>its thick, super soft, orthopedic foam base. It <br>warms the surface 10-15 degrees above ambient air <br>temperature to ...",cat,cat_0,-0.5423,1,1.0,1
1595,B001LNOXAS,Pets First San Antonio Spurs Dog Jersey,Who better to watch the game with than your <br>favorite canine pal? Get your pooch ready for the <br>next hardwood showdown with this Pets First NBA <br>dog jersey. It features a cotton construction and <br>is decorated with the team colors and logo.,dog,dog_0,0.6738944444444444,18,1.0,1
199,B0006JLNZG,HBH Super Soft Krill Large 6.5oz,"The softest fish food ever made, and a great <br>frozen food alternative. Feeds both marine and <br>freshwater fish, and features both Krill and <br>Spirulina as #1 ingredients. Simply the best food <br>your fish will ever eat!7.0oz,,",fish,fish_3,0.6369,1,,1
3,B000248C3Q,"Healing Tree Products TEA-CLENZ-650 Tea-Clenz <br>Topical Fungicide Solution, 16 oz","HEALING TREE PRODUCTS TEA-CLENZ-650 Tea-Clenz <br>Topical Fungicide Solution, 16 oz",farm animals,farm animals_5,0.4769875,8,0.0,1
2489,B00TO0NHLQ,"Zoo Med Laboratories SZMZM70 Tegu,Monitor and <br>Carnivore Food, 6-Ounce",The first commercially available food developed <br>for large carnivorous lizards. Tegu and Monitor <br>Food is made with real chicken and soybeans to <br>provide the high protein levels that carnivorous <br>reptiles need.,amphibians and reptiles,amphibians and reptiles_0,-0.2622,2,,1
320,B0002AS61S,Kaytee CritterTrail Fun-nels Value Pack #4,"Includes three 90 degree bends with one T piece, <br>two short straights, one long straight, an end <br>blanking dome and connectors.",rabbits and rodents,rabbits and rodents_3,0.5091040609137052,394,1.0,1
286,B0002DIKPW,"FM Brown Tropical Carnival - Cockatiel, Love Bird <br>&amp; Small Parrot - 2 lbs","FM Brown Tropical Carnival - Cockatiel, Love Bird <br>& Small Parrot,FM Brown Tropical Carnival - <br>Cockatiel, Love Bird and Small Parrot is fortified <br>with vitamins and nutrients for your pet bird's <br>good health. This pet food is designed to meet <br>your bird's daily nutritional requirements. With <br>the help ...",bird,bird_6,0.714,1,1.0,1
1,B0002566RO,"Zoo Med Laboratories SZMZM56 Hatchling Aquatic <br>Turtle Dry Food, 1.6-Ounce",Zoo Meds Aquatic Turtle Food adds a nice high <br>protein treat to your turtles diet with the <br>addition of dried shrimp and mealworms. We also <br>add whole cranberries which are a natural food <br>item of many North American species of aquatic <br>turtles.,amphibians and reptiles,amphibians and reptiles_6,0.35424,10,1.0,1
31,B0002DI63I,Leather Oaktan Collar Red 3/4X18,""",Oak Tanned leather is full grain, top quality <br>leather that has been vegetable tanned. The <br>tanning process uses tree bark to form a tanning <br>liquor producing excellent leather character. The <br>hides are then aniline dyed for luxurious <br>color.Oak Tanned Collars are expertly made for <br>long lasting ...",other,other_2,0.9581,1,1.0,1
1499,B000S9K1CA,Feather Light Stainless Shears - 6 1/2&quot; 30 <br>Tooth Thinning Shear,Millers Forge Feather Light Sears feature quality <br>at an affordable price. Each Feather Light Shear <br>has serrated edges which assure a clean cut. <br>Shears are stainless steel with a mirror finish <br>and gold plated handles. The rubber silencer <br>between finger holes enhances smooth operation. <br>Each shear ...,bird,bird_0,-0.3151,1,1.0,1
93,B0002UQSL8,Small Animal Supplies Mp Bandits Ferret Treats 4Oz <br>Meaty Bacon,&lt;p&gt;Ferrets are strict carnivores and require <br>meat&amp;#045;based protein&amp;#046; Marshall <br>Premium Ferret Diet and Bandits Treats combine the <br>freshest meat ingredients with low temperature <br>processing to make them the best ferret food and <br>treats available&amp;#046; ...,rabbits and rodents,rabbits and rodents_6,0.2064,2,1.0,1
1714,B0020ML0FU," Sojos Natural Crunchy Dog Treats, 10-Ounce Box","Oven-Baked, grain-free dog treats.",dog,dog_6,0.9495,1,,1
166,B0006G58RS,Perfecto Fluorescent Aquarium Hood Black 24in,"Perfecto Full Hood Black Fluorescent Designed to <br>sit on top of the aquarium frame, Perfect-A-Lite <br>Full hoods accommodate aquariums from multiple <br>manufacturers. Perfect-A-Lite Full Hoods are <br>durable and consumer friendly. The front access <br>panel runs the entire length of the hood for daily <br>...",fish,fish_1,0.7187,2,,1
35,B0002DJYV6,Guardian Gear Aquarium Heater 14 / 200 watt - up <br>to 40 gallons,"Pp Heater - Guardian 200w /14"" was designed to <br>pass more than 12 rigorous safety tests. It is <br>recommended for fresh water aquariums",other,other_1,-0.849,1,,1
4032,B00RPPOZJK,Hunter NCAA Oregon Ducks Bungee Lead for Pets,"Made with high tensile nylon webbing. Decorated in <br>full color with your favorite sports team. Bungee <br>absorbs the pull energy. Comes in width (5/8""). We <br>are the industry leader in high-quality, <br>innovative licensed sports products for MLB, <br>NASCAR, NBA, NFL, NHL, and over 80 colleges and <br>universities.",farm animals,farm animals_0,-0.6798,1,,1
2,B00008GKAO,"Petguard Cat Lite Chicken Stew, 3 oz","Pet guard Cat Lite chicken Stew. Formulated <br>specially for cat's who have a few pounds to lose <br>with it's lower calorie content. The product <br>temperature is Ambient Room <br>Temperature.,,,Chicken, Chicken Broth, Chicken <br>Liver, Barley, Carrots, Peas, Dried Yeast, <br>Deflourinated Phosphate, Guar Gum, Calcium ...",farm animals,farm animals_1,0.7506,1,1.0,1
2,B00008DFPK,Oxbow Orchard Grass Hay,"Your guinea pig or rabbit wont be able to resist <br>this sweet smelling, leafy and healthy hay Oxbow <br>Orchard Grass Hay is high in fiber, supports the <br>digestive system, the urinary tract, and prevents <br>obesity. Hay is vital part of a healthy herbivore <br>diet, encouraging natural chewing behavior and ...",rabbits and rodents,rabbits and rodents_1,0.8692,1,,1
14,B00025YRMK,Instant Ocean-Aquarium Systems Fancy Plant Mat - <br>Cypress Mat,"Instant Ocean FancyPlants CYPRESS MATFancyPlants? <br>are natural-looking aquarium decorations that fish <br>readily swim through for shelter and protection <br>the same way they swim through live plants. They <br>are easily cleaned under running water, and come <br>with multi-position anchoring bases and suction <br>...",amphibians and reptiles,amphibians and reptiles_4,0.9314,1,,1
15734,B00GS6NA0W,Dingo Chip Mix Mini Rawhide Chews With Chicken 7.5 <br>OZ (Pack of 3),,dog,dog_3,0.6078000000000001,23,,1
8,B000294DE8,"12&quot; Select Smoked Bully Sticks, Pkg of 50",,farm animals,farm animals_2,-0.7400500000000001,2,1.0,1
37,B0002AQS9U,TREX BIO SOLAR VITA DROPS .3OZ,"Small Animal Vitamins by T-rex - Get Fast Shipping <br>and Low Prices at PetsWarehouse.com on over 43,000 <br>Pet Supplies such as Dog Food, Dog Supplies, Cat <br>Food, Cat Supplies, Bird Food, Bird Supplies, <br>Aquarium Supplies and Fish Supplies.  We offer our <br>customers the largest selection of Pet Supplies <br>...",amphibians and reptiles,amphibians and reptiles_1,-0.9744,1,,1
83,B0002AQZL6,Pet Mate Circular Glass Fitting Cat Flap,Cat flap. Circular style. 4 way locking flap. <br>Recommended for single/double glazing and very <br>thin panels/screens. Self lining to 0-30mm thick. <br>Silent action - wont frighten pets or disturb <br>owner. Draught and weatherproof brush sealed flap <br>with magnetic closure. Transparent flap. Overall <br>diameter: ...,cat,cat_2,0.5725862068965517,29,1.0,1
298,B000VDR8BU,TEMPTATIONS Savory Salmon Flavor Treats for Cats,Whiskas Savory Salmon Flavor Temptations Treats <br>for Cats.Helps control tartar.Crunchy outside.Soft <br>inside.Under 2 calories per treat.,cat,cat_5,0.5844470588235294,17,1.0,1
198,B0002ASFDW,"Marina Aquascaper Anacharis Plant, 15-Inch","Let the marina aquascaper anacharis plant add some <br>lush, colorful landscape to your aquarium. Design <br>your very own aquatic paradise with authentic, <br>realistic-looking plastic plants, all molded after <br>the real thing. Choose from a variety of styles <br>and colors so you can customize your own stunning <br>...",fish,fish_5,0.3612,1,,1
1,B00008DF9Y,Solid Gold Chicken and Liver,"Great tasting Chicken, Liver, Brown Rice & Barley <br>will have your dog excited for meal time.",farm animals,farm animals_4,0.6249,1,,1
16,B0002APISC,SCREEN COVER 20L/29 W/O DOOR,"Four Paws Safety Screen Covers are available in a <br>variety of sizes and styles to meet the needs of <br>all small animal and reptile enthusiasts. They are <br>available with a solid screen, a self-locking <br>convenient door, a heavy wire screen or a locking <br>screen cover. They are all designed with a unique <br>...",amphibians and reptiles,amphibians and reptiles_5,0.8597,1,,1
921,B00126APRE,Smoked Turkey Breast,,other,other_0,0.603,4,1.0,1
1090,B0012KCXYS,"Fancy Feast Gourmet Cat Food Ocean Whitefish &amp; <br>Tuna Feast, 3-Ounce Cans (Pack Of 48)",,cat,cat_6,0.9210666666666668,3,1.0,1
173,B0002DJ9ES,Prevue Pet Products Tropical Teasers Coconut Hut,",Really cool coconut hut toy features a solid <br>coconut for feeding treats or food""water, lots of <br>natural fiber for tugging at and string and beads <br>for total bird enjoyment. Quicklink connection for <br>hanging in cage. Something really <br>different!!&lt;""p&gt;,,",bird,bird_1,-0.5228,1,1.0,1
